PlanningLocation,minimumDwell,stationCode,locationName,subdivision,MonitoringLocation,LocationGroup,
ALLGARC,+02 ,   ,Allington A.R.C. Sdg      ,604,89312,Southern              ,
ALLGREV,+02 ,   ,Allington A.R.C. Reverse  ,604,89314,Southern              ,
ALLOA  ,+02 ,ALO,Alloa                     ,706,03375,Scotland's Railway    ,
ALLOALP,+02 ,   ,Alloa Loop                ,706,03373,Scotland's Railway    ,
ALNESS ,+02 ,ASS,Alness                    ,710,01058,Scotland's Railway    ,
ALNGEJN,+02 ,   ,Allington East Jn         ,320,44505,Eastern               ,
ALNGJN ,+02 ,   ,Allington West Jn         ,320,44509,Eastern               ,
ALNGNJN,+02 ,   ,Allington North Jn        ,320,44507,Eastern               ,
ALNMILL,+02 ,   ,Little Mill LC            ,310,12111,Eastern               ,
ALNMOTH,+02 ,ALM,Alnmouth For Alnwick      ,310,12112,Eastern               ,
ALRESFD,+02 ,ALR,Alresford (Essex)         ,216,50027,Eastern               ,
ALRSFRD,+02 ,ARF,Alresford                 ,610,87018,Southern              ,
ALRWAS ,+02 ,   ,Alrewas L.C.              ,127,66040,North West and Central,
ALSAEJN,+00H,   ,Alsager East Jn           ,525,42412,North West and Central,
ALSAGER,+02 ,ASG,Alsager                   ,525,42412,North West and Central,
ALSAUDG,+02 ,   ,Alsager Up & Dn Gds Loop  ,525,42413,North West and Central,
ALSCGF ,+02 ,   ,Allscott GF               ,108,64705,North West and Central,
ALSCTSW,+02 ,   ,Allscott Sdgs             ,108,64704,North West and Central,
ALSCUPT,+02 ,   ,Upton Magna               ,437,64703,Wales and Western     ,
ALSHAM ,+02 ,AYH,Aylesham                  ,604,89515,Southern              ,
ALSTONS,+02 ,XCX,Alstone C. Sidings        ,405,68077,Wales and Western     ,
ALTFTJN,+02 ,   ,Altofts Jn                ,305,17196,Eastern               ,
ALTHORN,+02 ,ALN,Althorne                  ,204,50305,Eastern               ,
ALTNBRC,+02 ,ABC,Altnabreac                ,710,01010,Scotland's Railway    ,
ALTNCCE,+02 ,   ,Altnabreac C.E.           ,710,01011,Scotland's Railway    ,
ALTON  ,+02 ,AON,Alton                     ,610,87021,Southern              ,
ALTPE  ,+02 ,ALP,Althorpe                  ,306,22075,Eastern               ,
ALTRNHM,+02 ,ALT,Altrincham                ,501,37225,North West and Central,
ALVCHRC,+02 ,ALV,Alvechurch                ,105,66527,North West and Central,
ALVCRLP,+02 ,ARP,Alvechurch Red Lion Pub   ,105,00000,North West and Central,
ALVES  ,+02 ,   ,Alves Jn                  ,712,02004,Scotland's Railway    ,
ALXANDR,+02 ,ALX,Alexandria                ,703,06123,Scotland's Railway    ,
ALXNJTC,+02 ,   ,Alexandra Dock Jn. T.C.   ,403,76470,Wales and Western     ,
ALXNUDG,+02 ,   ,Alexandra Docks UDG       ,403,76469,Wales and Western     ,
ALXPD  ,+02 ,AXP,Alexandra Parade          ,703,06525,Scotland's Railway    ,
AMBERGJ,+00H,XAJ,Ambergate Jn              ,127,57110,Eastern               ,
AMBERGT,+02 ,AMB,Ambergate                 ,127,57013,Eastern               ,
AMBEWIN,+02 ,   ,Wingfield                 ,127,57001,Eastern               ,
AMERMWD,+02 ,   ,Mantles Wood              ,104,70362,North West and Central,
AMERSHM,+02 ,AMR,Amersham                  ,104,70361,North West and Central,
AMLWCH ,+02 ,AMW,Amlwch                    ,431,40021,Wales and Western     ,
AMLWOCT,+02 ,   ,Amlwch Assoctd Octel Sdg  ,431,40021,Wales and Western     ,
AMLY   ,+02 ,AMY,Amberley                  ,613,87957,Southern              ,
AMMANFD,+02 ,AMF,Ammanford                 ,433,79064,Wales and Western     ,
AMNG294,+02 ,   ,Amington Jn Sig NL1294    ,405,68996,Wales and Western     ,
AMNG459,+02 ,   ,Amington Jn Sig NL9459    ,405,68997,Wales and Western     ,
AMNG462,+02 ,   ,Amington Jn Sig NL9462    ,405,68998,Wales and Western     ,
AMNG485,+02 ,   ,Amington Jn Sig NL5485    ,405,68994,Wales and Western     ,
AMNG487,+02 ,   ,Amington Jn Sig NL3487    ,405,68999,Wales and Western     ,
AMNG488,+02 ,   ,Amington Jn Sig NL5488    ,405,68995,Wales and Western     ,
AMNG490,+02 ,   ,Amington Jn Sig NL3490    ,118,69002,North West and Central,
AMNGTNJ,+00H,XIM,Amington Junction         ,118,69003,North West and Central,
AMPTNLS,+02 ,   ,Ampthill Tunnels          ,101,62200,Eastern               ,
ANAT   ,+02 ,   ,Annat                     ,716,06011,Scotland's Railway    ,
ANCAHON,+02 ,   ,Honington                 ,306,44102,Eastern               ,
ANCASTR,+02 ,ANC,Ancaster                  ,306,44101,Eastern               ,
ANDO202,+02 ,   ,Andover Shunt Sig BE5202  ,611,86054,Southern              ,
ANDOKMR,+02 ,   ,Andover Sidings           ,611,86073,Southern              ,
ANDOLSB,+02 ,   ,Ludgershall Brnch Stp Brd ,611,86133,Southern              ,
ANDOVER,+02 ,ADV,Andover                   ,611,86074,Southern              ,
ANDOYD ,+02 ,   ,Andover Yard              ,611,86072,Southern              ,
ANDRSTN,+02 ,AND,Anderston                 ,703,07253,Scotland's Railway    ,
ANERLEY,+02 ,ANZ,Anerley                   ,606,87644,Southern              ,
ANGMRNG,+02 ,ANG,Angmering                 ,608,87998,Southern              ,
ANGRFHH,+02 ,   ,Angerstein Wharf FLHH     ,602,88507,Southern              ,
ANGRMAR,+02 ,   ,Angerstein Wharf - Marcon ,602,88505,Southern              ,
ANGRSTJ,+00H,   ,Angerstein Jn             ,602,88510,Southern              ,
ANGRSTW,+02 ,   ,Angerstein Wharf Loop     ,602,88501,Southern              ,
ANGRTAR,+02 ,   ,Angerstein Wharf (Tarmac) ,602,88502,Southern              ,
ANNAN  ,+02 ,ANN,Annan                     ,708,09033,Scotland's Railway    ,
ANNBANK,+02 ,   ,Annbank                   ,707,08606,Scotland's Railway    ,
ANSDELL,+02 ,AFV,Ansdell & Fairhaven       ,533,30037,North West and Central,
ANSL   ,+02 ,ANL,Anniesland                ,703,06222,Scotland's Railway    ,
ANSL3  ,+02 ,   ,Anniesland                ,703,06222,Scotland's Railway    ,
APBY   ,+02 ,APP,Appleby                   ,517,09426,North West and Central,
APBYNE ,+02 ,   ,Appleby North East Sdgs   ,517,09427,North West and Central,
APDR   ,+02 ,APD,Appledore (Kent)          ,604,89432,Southern              ,
APERLYB,+02 ,APY,Apperley Bridge           ,305,17050,Eastern               ,
APERLYJ,+02 ,   ,Apperley Jn               ,305,17053,Eastern               ,
APLHRSJ,+02 ,   ,Applehurst Jn             ,303,23102,Eastern               ,
APLYBDG,+02 ,APB,Appley Bridge             ,534,35050,North West and Central,
APLYBGW,+02 ,   ,Appley Bridge Wimpey      ,534,35051,North West and Central,
APPLEFD,+02 ,APF,Appleford                 ,407,74340,Wales and Western     ,
APPLEFS,+02 ,   ,Appleford Sidings         ,401,74341,Wales and Western     ,
APPLEFX,+02 ,   ,Appleford L.C.            ,401,74340,Wales and Western     ,
APPLEGB,+02 ,   ,Appleford Sdgs (GBRf)     ,401,74338,Wales and Western     ,
APPLFHH,+02 ,   ,Appleford FHH             ,401,74342,Wales and Western     ,
APSLEY ,+02 ,APS,Apsley                    ,112,71023,North West and Central,
ARBRCVR,+02 ,   ,Arbroath Crossover        ,714,03026,Scotland's Railway    ,
ARBROTH,+02 ,ARB,Arbroath                  ,714,03023,Scotland's Railway    ,
ARBRURS,+02 ,   ,Arbroath U.R.S.           ,714,03024,Scotland's Railway    ,
ARCHAME,+02 ,   ,Arrochar & Tarbet URS Amec,716,06107,Scotland's Railway    ,
ARCHRAT,+02 ,ART,Arrochar & Tarbet         ,716,06101,Scotland's Railway    ,
ARCHRCE,+02 ,   ,Arrochar & Tarbet C.E.    ,716,06102,Scotland's Railway    ,
ARDEGH ,+02 ,   ,Ardleigh                  ,205,49295,Eastern               ,
ARDGAY ,+02 ,ARD,Ardgay                    ,710,01041,Scotland's Railway    ,
ARDGAYC,+02 ,   ,Ardgay C.E.               ,710,01042,Scotland's Railway    ,
ARDLUCE,+02 ,   ,Ardlui C.E.               ,716,06060,Scotland's Railway    ,
ARDLUI ,+02 ,AUI,Ardlui                    ,716,06059,Scotland's Railway    ,
ARDNFHH,+02 ,   ,Ardingly Hanson Aggregates,607,87964,Southern              ,
ARDNGLY,+02 ,   ,Ardingly                  ,607,87965,Southern              ,
ARDRSDS,+02 ,XAT,Ardrossan E.M.U. Sdg      ,707,08200,Scotland's Railway    ,
ARDRSHB,+02 ,ADS,Ardrossan Harbour         ,707,08208,Scotland's Railway    ,
ARDRSSB,+02 ,ASB,Ardrossan South Beach     ,707,08198,Scotland's Railway    ,
ARDRSTN,+02 ,ADN,Ardrossan Town            ,707,08204,Scotland's Railway    ,
ARDWCKJ,+00H,   ,Ardwick Jn                ,506,32009,North West and Central,
ARDWICK,+02 ,ADK,Ardwick                   ,506,32045,North West and Central,
ARDWKEJ,+00H,   ,Ardwick East Jn           ,501,32009,North West and Central,
ARDWKEY,+02 ,   ,Ardwick East Yard         ,501,32042,North West and Central,
ARDWTMD,+02 ,XRK,Ardwick T.M.D             ,506,32043,North West and Central,
ARGYLST,+02 ,AGS,Argyle Street             ,703,07259,Scotland's Railway    ,
ARISAIG,+02 ,ARG,Arisaig                   ,716,06004,Scotland's Railway    ,
ARISCE ,+02 ,   ,Arisaig C.E.              ,716,06003,Scotland's Railway    ,
ARKLSTE,+02 ,   ,Arkleston East            ,701,07149,Scotland's Railway    ,
ARKLSTJ,+02 ,   ,Arkleston Jn              ,701,07147,Scotland's Railway    ,
ARKLSTW,+02 ,   ,Arkleston West            ,701,07148,Scotland's Railway    ,
ARKSEYL,+02 ,   ,Arksey Loop               ,303,23225,Eastern               ,
ARLEY  ,+02 ,   ,Arley                     ,105,00000,North West and Central,
ARLSCAD,+02 ,   ,Cadwell                   ,301,53205,Eastern               ,
ARLSEY ,+02 ,ARL,Arlesey                   ,301,53201,Eastern               ,
ARMDALE,+02 ,ARM,Armadale                  ,702,07324,Scotland's Railway    ,
ARMITAG,+02 ,   ,Armitage Jn               ,118,43335,North West and Central,
ARMLJCN,+02 ,   ,Armley Junction           ,305,17136,Eastern               ,
ARNSIDE,+02 ,ARN,Arnside                   ,524,11403,North West and Central,
ARPLEYJ,+00H,   ,Arpley Jn                 ,530,35533,North West and Central,
ARPLEYS,+02 ,   ,Arpley Sidings            ,530,35550,North West and Central,
ARPLHOL,+02 ,   ,Warrington Arpley (Hole)  ,530,35549,North West and Central,
ARPLSHS,+02 ,   ,Arpley Sidings H.S.       ,530,35550,North West and Central,
ARPLYFA,+02 ,   ,Warrington Fuelling Apron ,530,35546,North West and Central,
ARPNRD ,+02 ,   ,Warrington Arpley Nc Rds  ,530,35557,North West and Central,
ARRAM  ,+02 ,ARR,Arram                     ,313,19019,Eastern               ,
ARUNDEL,+02 ,ARU,Arundel                   ,608,87958,Southern              ,
ARUNDLJ,+00H,XXA,Arundel Jn                ,608,87959,Southern              ,
ARUNLRD,+02 ,ARZ,Arundel London Road       ,608,00000,Southern              ,
ASBRDGE,+00H,   ,Ash Bridge Junction       ,501,32518,North West and Central,
ASCO501,+02 ,   ,Ascot Signal F501         ,609,87098,Southern              ,
ASCO504,+02 ,   ,Ascot Signal F504         ,609,87095,Southern              ,
ASCO506,+02 ,   ,Ascot Signal F506         ,609,87092,Southern              ,
ASCODS ,+02 ,   ,Ascot Down Siding         ,609,87096,Southern              ,
ASCOT  ,+02 ,ACT,Ascot                     ,609,87103,Southern              ,
ASCTUWD,+02 ,AUW,Ascott-Under-Wychwood     ,401,74463,Wales and Western     ,
ASFDMSX,+02 ,AFS,Ashford (Middlesex)       ,609,87117,Southern              ,
ASFIELD,+02 ,ASF,Ashfield                  ,702,06245,Scotland's Railway    ,
ASFRDBY,+02 ,   ,Asfordby Colliery         ,107,59119,Eastern               ,
ASHBAWS,+02 ,   ,Ardwick West Sdgs (EWS)   ,501,32052,North West and Central,
ASHBEWS,+02 ,   ,Ashburys (DBC)            ,516,32051,North West and Central,
ASHBFHH,+02 ,   ,Ashburys Lafarge (FLHH)   ,516,32049,North West and Central,
ASHBREJ,+00H,   ,Ashburys East Jn          ,516,32050,North West and Central,
ASHBRSY,+02 ,   ,Ashburys S.S.             ,516,32051,North West and Central,
ASHBRWJ,+02 ,   ,Ashburys W Jn. (Sig AS998),516,32048,North West and Central,
ASHBRYS,+02 ,ABY,Ashburys                  ,516,32050,North West and Central,
ASHC453,+02 ,   ,Ashchurch Signal G453     ,405,68074,Wales and Western     ,
ASHCHRC,+02 ,ASC,Ashchurch For Tewkesbury  ,405,68071,Wales and Western     ,
ASHCMOD,+02 ,   ,Ashchurch MOD (Army)      ,405,68073,Wales and Western     ,
ASHCWGF,+02 ,   ,Ashchurch War Dept. G.F.  ,405,68075,Wales and Western     ,
ASHCWTF,+02 ,   ,Ashchurch War Dept G.F.   ,405,68072,Wales and Western     ,
ASHD   ,+02 ,AHD,Ashtead                   ,639,87683,Southern              ,
ASHF119,+02 ,   ,Ashford Signal AD2119     ,604,89434,Southern              ,
ASHFAJN,+02 ,   ,Ashford A Junction        ,604,89438,Southern              ,
ASHFCEJ,+00H,XIE,Ashford East Jn (CTRL)    ,616,89572,Southern              ,
ASHFCR ,+02 ,   ,Ashford Crane Depot       ,604,89422,Southern              ,
ASHFCWJ,+00H,XIW,Ashford West Jn (CTRL)    ,616,89566,Southern              ,
ASHFDNS,+02 ,Ads,Ashford Down Sidings      ,604,89420,Southern              ,
ASHFDYW,+02 ,Adw,Ashford Down Yd Washer Rd ,604,89421,Southern              ,
ASHFEBS,+02 ,Aeb,Ashford East Berthing Sdgs,604,89419,Southern              ,
ASHFEJN,+02 ,   ,Ashford East Junction     ,604,89430,Southern              ,
ASHFKCY,+02 ,   ,Ashford Dn Yd Cntb End    ,604,89436,Southern              ,
ASHFKDY,+02 ,Ady,Ashford Down Yard         ,604,89427,Southern              ,
ASHFKGR,+02 ,   ,Ashford Maidstone Loop    ,604,89425,Southern              ,
ASHFKI ,+02 ,ASI,Ashford International     ,604,89428,Southern              ,
ASHFKY ,+02 ,AFK,Ashford International     ,604,89428,Southern              ,
ASHFUPS,+02 ,Aus,Ashford Up Sidings        ,604,89418,Southern              ,
ASHFWJN,+00H,   ,Ashford West Junction     ,604,89423,Southern              ,
ASHGTNJ,+02 ,   ,Ashington Jn              ,310,12213,Eastern               ,
ASHH   ,+02 ,ASH,Ash                       ,610,87014,Southern              ,
ASHH331,+02 ,   ,Ash Signal Gd 1331        ,610,87015,Southern              ,
ASHIMKS,+02 ,   ,Ashton In Makerfield K.S. ,530,35202,North West and Central,
ASHIMSB,+02 ,   ,Ashton In M Stop Board    ,501,35202,North West and Central,
ASHJ335,+02 ,   ,Ashton Jn Signal B335     ,402,81829,Wales and Western     ,
ASHJGAT,+02 ,   ,Ashton Gate               ,402,81821,Wales and Western     ,
ASHJN  ,+00H,   ,Ashton Junction           ,402,81823,Wales and Western     ,
ASHJNCE,+02 ,   ,Ashton Junction (CE)      ,402,81822,Wales and Western     ,
ASHLEY ,+02 ,ASY,Ashley                    ,501,37223,North West and Central,
ASHONUL,+02 ,AHN,Ashton-Under-Lyne         ,509,32115,North West and Central,
ASHTMNJ,+02 ,   ,Ashton Moss North Jn      ,509,32117,North West and Central,
ASHUBUS,+02 ,ABF,Ashurst Bald Face Stag P.H,617,00000,Southern              ,
