PlanningLocation,minimumDwell,stationCode,locationName,subdivision,MonitoringLocation,LocationGroup,
LCHALRT,+02 ,LCL,Lochailort                ,716,06006,Scotland's Railway    ,
LCHC   ,+02 ,LIC,Lichfield City            ,106,65316,North West and Central,
LCHCCS ,+02 ,   ,Lichfield City C.S.       ,106,65317,North West and Central,
LCHCHAM,+02 ,   ,Hammerwich                ,106,65335,North West and Central,
LCHESDE,+02 ,LCS,Locheilside               ,716,06009,Scotland's Railway    ,
LCHGLLY,+02 ,LCG,Lochgelly                 ,702,03249,Scotland's Railway    ,
LCHLCHR,+02 ,LCC,Lochluichart              ,710,01082,Scotland's Railway    ,
LCHRDGJ,+02 ,   ,Lochridge Junction        ,701,07220,Scotland's Railway    ,
LCHT131,+02 ,   ,Lichfield Signal 1310     ,118,65308,North West and Central,
LCHT259,+02 ,   ,Lichfield TV Sig LS4259   ,118,65306,North West and Central,
LCHT303,+02 ,   ,Lichfield TV Sig LS1303   ,118,65307,North West and Central,
LCHT306,+02 ,   ,Lichfield Sig LS1306      ,118,65304,North West and Central,
LCHT308,+02 ,   ,Lichfield Sig LS1308      ,118,65305,North West and Central,
LCHTCE ,+02 ,   ,Lichfield TV C E Sidings  ,118,65312,North West and Central,
LCHTCUR,+00H,   ,Curborough Jn             ,118,65321,North West and Central,
LCHTFIN,+02 ,   ,Fine Lane L.C.            ,127,66042,North West and Central,
LCHTHAD,+02 ,   ,Hademore Crossing         ,118,69000,North West and Central,
LCHTNJ ,+00H,XOI,Lichfield North Jn (LL)   ,118,65309,North West and Central,
LCHTPDC,+02 ,   ,Lichfield TV LL PDC       ,118,65310,North West and Central,
LCHTTVH,+02 ,LIF,Lichfield Trent Valley HL ,106,65315,North West and Central,
LCHTTVJ,+00H,   ,Lichfield T.V. Jn         ,118,65314,North West and Central,
LCHTTVL,+02 ,LTV,Lichfield Trent Valley LL ,118,65311,North West and Central,
LCHW171,+02 ,   ,Lochwinnoch Sig PE171     ,701,07099,Scotland's Railway    ,
LCHWNCH,+02 ,LHW,Lochwinnoch               ,701,07101,Scotland's Railway    ,
LCKRBIE,+02 ,LOC,Lockerbie                 ,708,07981,Scotland's Railway    ,
LCKRDPL,+02 ,   ,Lockerbie Down Loop       ,708,07982,Scotland's Railway    ,
LCKRUPL,+02 ,   ,Lockerbie Up Loop         ,708,07980,Scotland's Railway    ,
LCKRUPS,+02 ,   ,Lockerbie Up Sidings      ,708,07998,Scotland's Railway    ,
LCKWBGF,+02 ,   ,Leckwith Bridge Grnd Frame,403,78518,Wales and Western     ,
LCKWLOP,+02 ,   ,Leckwith Loop             ,408,78510,Wales and Western     ,
LCKWSTJ,+00H,   ,Leckwith South Jn         ,403,78517,Wales and Western     ,
LCKWTHJ,+00H,   ,Leckwith North Jn         ,403,77307,Wales and Western     ,
LDBRKJ ,+02 ,   ,Ladbroke Grove            ,401,73111,Wales and Western     ,
LDBURY ,+02 ,LED,Ledbury                   ,439,67219,Wales and Western     ,
LDLNGTN,+02 ,LID,Lidlington                ,101,62047,Eastern               ,
LDYBURN,+02 ,   ,Ladyburn T.C.             ,701,07027,Scotland's Railway    ,
LDYW   ,+02 ,LAD,Ladywell                  ,602,88309,Southern              ,
LDYWJN ,+00H,   ,Ladywell Junction         ,602,88310,Southern              ,
LEABDGE,+02 ,LEB,Lea Bridge                ,206,51933,Eastern               ,
LEAG591,+02 ,   ,Leagrave Shunt Sig 591    ,103,62213,Eastern               ,
LEAGRVE,+02 ,LEA,Leagrave                  ,103,62211,Eastern               ,
LEAGRVJ,+00H,   ,Leagrave Jn               ,103,62209,Eastern               ,
LEAGSAN,+02 ,   ,Sandon (Beds)             ,103,62205,Eastern               ,
LEAGSDG,+02 ,   ,Leagrave Tamper Sdg       ,103,62212,Eastern               ,
LEAHALL,+02 ,LEH,Lea Hall                  ,106,65610,North West and Central,
LEAJ   ,+02 ,   ,Lea Junction              ,206,52038,Eastern               ,
LEAJ286,+02 ,   ,Lea Junction Loop Sig 1286,206,52039,Eastern               ,
LEALHLM,+02 ,LHM,Lealholm                  ,308,15516,Eastern               ,
LEASOWE,+02 ,LSW,Leasowe                   ,504,38009,North West and Central,
LEDB426,+02 ,   ,Ledburn Signal TK1426     ,112,70325,North West and Central,
LEDB428,+02 ,   ,Ledburn Signal TK1428     ,112,70324,North West and Central,
LEDB433,+02 ,   ,Ledburn Signal TK1433     ,112,70322,North West and Central,
LEDBRNJ,+00H,XOD,Ledburn Jn                ,112,70320,North West and Central,
LEDBSH ,+02 ,   ,Stoke Hammond             ,112,70323,North West and Central,
LEED190,+02 ,   ,Leeds Sig L190            ,305,17117,Eastern               ,
LEED421,+02 ,   ,Leeds Sig L4421           ,305,17093,Eastern               ,
LEED606,+02 ,   ,Leeds Sig L3606           ,305,17097,Eastern               ,
LEED613,+02 ,   ,Leeds Sig L3613           ,305,17096,Eastern               ,
LEED615,+02 ,   ,Leeds Sig L3615           ,305,17094,Eastern               ,
LEED629,+02 ,   ,Leeds Sig L3629           ,305,17148,Eastern               ,
LEED631,+02 ,   ,Leeds Sig L3631           ,305,17095,Eastern               ,
LEED694,+02 ,   ,Leeds Sig L3694           ,305,17126,Eastern               ,
LEED774,+02 ,   ,Leeds Sig L774            ,305,17133,Eastern               ,
LEED928,+02 ,   ,Leeds Sig L928            ,305,17178,Eastern               ,
LEED929,+02 ,   ,Leeds Sig L929            ,305,17179,Eastern               ,
LEEDBFD,+02 ,   ,Leeds Balm Road F.D.      ,305,17173,Eastern               ,
LEEDFHH,+02 ,   ,Leeds Balm Rd Loco (FHH)  ,305,17172,Eastern               ,
LEEDFLT,+02 ,   ,Leeds F.L.T.              ,305,17184,Eastern               ,
LEEDMWL,+02 ,   ,Leeds Midland Rd WHL Lathe,305,17174,Eastern               ,
LEEDRMC,+02 ,   ,Leeds Stourton RMC        ,305,17175,Eastern               ,
LEEDS  ,+02 ,LDS,Leeds                     ,305,17132,Eastern               ,
LEEDSEJ,+02 ,   ,Leeds East Jn             ,305,17126,Eastern               ,
LEEDSWJ,+02 ,   ,Leeds West Junction       ,305,17131,Eastern               ,
LEEE   ,+02 ,LEE,Lee                       ,602,88453,Southern              ,
LEEELPJ,+00H,   ,Lee Loop Junction         ,602,88388,Southern              ,
LEEESPR,+02 ,   ,Lee Spur                  ,602,88456,Southern              ,
LEEKBRJ,+00H,   ,Leek Brook Jn             ,510,43421,North West and Central,
LEESPRJ,+00H,   ,Lee Spur Jn               ,602,88512,Southern              ,
LEGR   ,+02 ,LEG,Lea Green                 ,502,35447,North West and Central,
LEIGBUS,+02 ,LFL,Leigh (Fleur-De-Lis P.H.) ,604,00000,Southern              ,
LEIGHK ,+02 ,LIH,Leigh (Kent)              ,604,87739,Southern              ,
LEISTON,+02 ,LIE,Leiston                   ,205,49114,Eastern               ,
LEITFPA,+02 ,   ,Leith Docks F.P.A.        ,702,04612,Scotland's Railway    ,
LEITGTX,+02 ,   ,Leith Docks Gatx          ,702,04613,Scotland's Railway    ,
LEITHFH,+02 ,   ,Leith Sth Fliner/Lafarge  ,702,04602,Scotland's Railway    ,
LEITHS ,+02 ,   ,Leith South               ,702,04601,Scotland's Railway    ,
LEITSAI,+02 ,   ,Leith Docks Sai           ,702,04614,Scotland's Railway    ,
LEITSSS,+02 ,   ,Leith South Storage       ,702,04608,Scotland's Railway    ,
LELANT ,+02 ,LEL,Lelant                    ,404,85715,Wales and Western     ,
LELANTS,+02 ,LTS,Lelant Saltings           ,404,85716,Wales and Western     ,
LENHAM ,+02 ,LEN,Lenham                    ,604,89407,Southern              ,
LENHAMX,+02 ,XXK,Lenham Crossover (CTRL)   ,616,89556,Southern              ,
LENHLP ,+02 ,   ,Lenham Heath Loop (CTRL)  ,616,89560,Southern              ,
LENHMLP,+02 ,   ,Lenham Passenger Loop     ,604,89414,Southern              ,
LENHUS6,+02 ,   ,Lenham Up Siding No 6     ,616,89558,Southern              ,
LENHUS8,+02 ,   ,Lenham Up Siding No 8     ,616,89562,Southern              ,
LENTNNJ,+00H,   ,Lenton North Jn           ,107,55122,Eastern               ,
LENTNSJ,+00H,   ,Lenton South Jn           ,107,55219,Eastern               ,
LENZIE ,+02 ,LNZ,Lenzie                    ,702,06454,Scotland's Railway    ,
LEOMNST,+02 ,LEO,Leominster                ,403,76373,Wales and Western     ,
LEOMSB ,+02 ,   ,Leominster Signal Box     ,403,76373,Wales and Western     ,
LEST325,+02 ,   ,Leicester Signal LR325    ,122,59237,Eastern               ,
LEST327,+02 ,   ,Leicester Signal 327      ,122,59259,Eastern               ,
LEST421,+02 ,   ,Leicester 421 Signal      ,122,59244,Eastern               ,
LEST426,+02 ,   ,Leicester 426 Signal      ,122,59245,Eastern               ,
LESTBRG,+02 ,   ,Leicester Braunstone Gate ,122,59251,Eastern               ,
LESTCSD,+02 ,   ,Leicester Car Sidings     ,122,59238,Eastern               ,
LESTER ,+02 ,LEI,Leicester                 ,122,59241,Eastern               ,
LESTHR ,+02 ,   ,Humberstone Road          ,107,59221,Eastern               ,
LESTHR5,+02 ,   ,Humberstone Rd No5 Top Sdg,107,59222,Eastern               ,
LESTHRJ,+00H,   ,Humberstone Rd Jn         ,107,59219,Eastern               ,
LESTKJN,+00H,   ,Knighton Jn               ,122,59272,Eastern               ,
LESTLIP,+02 ,   ,Leicester L.I.P.          ,122,59239,Eastern               ,
LESTPBX,+02 ,   ,Leicester Power Box       ,122,59242,Eastern               ,
LESTRNJ,+00H,   ,Leicester North Jn        ,122,59240,Eastern               ,
LESTRSJ,+00H,   ,Leicester South Jn        ,122,59243,Eastern               ,
LESTSGF,+02 ,   ,Saffron Lane G.F.         ,122,59262,Eastern               ,
LETH195,+02 ,   ,Leatherhead Signal W1195  ,639,87676,Southern              ,
LETHRHD,+02 ,LHD,Leatherhead               ,639,87685,Southern              ,
LETNCMD,+02 ,   ,Leyton C.M.D.             ,206,00000,Eastern               ,
LEUCDS ,+02 ,   ,Leuchars Down Siding      ,714,03202,Scotland's Railway    ,
LEUCHRS,+02 ,LEU,Leuchars                  ,714,03203,Scotland's Railway    ,
LEUCS15,+02 ,   ,Leuchars Signal LE15      ,714,03206,Scotland's Railway    ,
LEWES  ,+02 ,LWS,Lewes                     ,607,88221,Southern              ,
LEWES58,+02 ,   ,Lewes Signal LW58         ,607,88222,Southern              ,
LEWESDS,+02 ,   ,Lewes Down Tamper Siding  ,607,88220,Southern              ,
LEWESUS,+02 ,   ,Lewes Up Siding           ,607,88219,Southern              ,
LEWISHM,+02 ,LEW,Lewisham                  ,602,88415,Southern              ,
LEWIVLJ,+00H,   ,Lewisham Vale Junction    ,602,88390,Southern              ,
LEYLAND,+02 ,LEY,Leyland                   ,503,30162,North West and Central,
LEYLBLM,+02 ,   ,Leyland B Leyland         ,503,30161,North West and Central,
LEYTNMR,+02 ,LEM,Leyton Midland Road       ,206,51551,Eastern               ,
LFGNLC ,+02 ,   ,Longforgan L.C.           ,714,03064,Scotland's Railway    ,
LFPW   ,+02 ,LPG,Llanfairpwll              ,431,40030,Wales and Western     ,
LGBK   ,+02 ,LGB,Langbank                  ,701,07130,Scotland's Railway    ,
LGFD   ,+02 ,LGF,Longfield                 ,605,88487,Southern              ,
LGHO   ,+02 ,LHO,Langho                    ,503,29145,North West and Central,
LGLNJN ,+02 ,   ,Langloan Jn               ,704,07338,Scotland's Railway    ,
LGML   ,+02 ,LGM,Langley Mill              ,107,56524,Eastern               ,
LGRN   ,+02 ,LGG,Langley Green             ,109,65901,North West and Central,
LGRNAW ,+02 ,   ,Langley Green Albright & W,109,65903,North West and Central,
LGRNYD ,+02 ,   ,Langley Green Yd          ,109,65906,North West and Central,
LGWITH ,+02 ,LAG,Langwith - Whaley Thorns  ,304,28003,Eastern               ,
LGWOOD ,+02 ,LGD,Lingwood                  ,205,48058,Eastern               ,
LHONSEA,+02 ,Lei,Leigh-On-Sea              ,210,51013,Eastern               ,
LHVN   ,+02 ,LVN,Littlehaven               ,613,87936,Southern              ,
LHVNBUS,+02 ,   ,Littlehaven(Lambs Farm Rd),613,00000,Southern              ,
LIFODEJ,+00H,   ,Lifford East Jn           ,123,66508,North West and Central,
LIFODWJ,+00H,   ,Lifford West Jn           ,123,66506,North West and Central,
LIFOMOS,+02 ,   ,Moseley                   ,123,66350,North West and Central,
LILBDGE,+02 ,   ,Lillie Bridge Depot LUL   ,609,87178,Southern              ,
LIMHSE ,+02 ,LHS,Limehouse                 ,210,52705,Eastern               ,
LINCFHH,+02 ,   ,Lincoln Terrace Sdgs (FHH),321,44050,Eastern               ,
LINCLNC,+02 ,LCN,Lincoln                   ,321,44038,Eastern               ,
LINDLA ,+02 ,   ,Kirkby South Junction     ,107,56245,Eastern               ,
LINFST ,+00H,   ,Linford Street Jn         ,605,87231,Southern              ,
LINGFLD,+02 ,LFD,Lingfield                 ,617,87755,Southern              ,
LINKLIN,+02 ,   ,Link Line                 ,401,73000,Wales and Western     ,
LIPHOOK,+02 ,LIP,Liphook                   ,610,87064,Southern              ,
LIPSONJ,+00H,   ,Lipson Junction           ,404,84135,Wales and Western     ,
LISK260,+02 ,   ,Liskeard Sig DM260        ,404,84422,Wales and Western     ,
LISK9  ,+02 ,   ,Liskeard Sig 9            ,404,84420,Wales and Western     ,
LISKARD,+02 ,LSK,Liskeard                  ,404,84411,Wales and Western     ,
LISKDGF,+02 ,   ,Liskeard Graound Frame    ,404,84410,Wales and Western     ,
LISS   ,+02 ,LIS,Liss                      ,610,87065,Southern              ,
LITLBRO,+02 ,LTL,Littleborough             ,503,31037,North West and Central,
LITTLEM,+02 ,   ,Littlemore                ,407,74435,Wales and Western     ,
LIVST  ,+02 ,Liv,London Liverpool Street   ,201,52741,Eastern               ,
LIVSTBL,+02 ,   ,London Liverpool St (Ball),201,52743,Eastern               ,
LKWD   ,+02 ,LCK,Lockwood                  ,311,18487,Eastern               ,
LLANDAF,+02 ,LLN,Llandaf                   ,408,78410,Wales and Western     ,
LLANMAI,+02 ,   ,Maindy Bridge             ,408,78417,Wales and Western     ,
LLBRDCH,+02 ,LNB,Llanbradach               ,408,78369,Wales and Western     ,
LLBSTRD,+02 ,LLT,Llanbister Road           ,433,79094,Wales and Western     ,
LLDARCY,+02 ,   ,Llandarcy                 ,403,79111,Wales and Western     ,
LLDEGEN,+00H,   ,Genwen Jn                 ,433,79049,Wales and Western     ,
LLDEILO,+02 ,LLL,Llandeilo                 ,433,79074,Wales and Western     ,
LLDELOJ,+00H,   ,Llandeilo Jn              ,433,79050,Wales and Western     ,
LLDODGF,+02 ,XLW,Llandrindod Crossing      ,433,79088,Wales and Western     ,
LLDODW ,+02 ,LLO,Llandrindod               ,433,79081,Wales and Western     ,
LLDVERY,+02 ,LLV,Llandovery                ,433,79077,Wales and Western     ,
LLDVNLC,+02 ,   ,Llandovery North L.C.     ,433,79071,Wales and Western     ,
LLDYBIE,+02 ,LLI,Llandybie                 ,433,79072,Wales and Western     ,
LLGADOG,+02 ,LLG,Llangadog                 ,433,79075,Wales and Western     ,
LLGMMRW,+02 ,LLM,Llangammarch              ,433,79083,Wales and Western     ,
LLGNNCH,+02 ,LLH,Llangennech               ,433,79056,Wales and Western     ,
LLGUNLO,+02 ,LGO,Llangynllo                ,433,79095,Wales and Western     ,
LLHARAN,+02 ,LLR,Llanharan                 ,403,78615,Wales and Western     ,
LLHLETH,+02 ,LTH,Llanhilleth               ,403,76640,Wales and Western     ,
LLISHEN,+02 ,LLS,Llanishen                 ,408,78378,Wales and Western     ,
LLNGYFL,+02 ,   ,Llangyfelach              ,403,79090,Wales and Western     ,
LLNLLI ,+02 ,LLE,Llanelli                  ,433,79040,Wales and Western     ,
LLNSMLT,+02 ,LAS,Llansamlet                ,403,79324,Wales and Western     ,
LLNWTMR,+02 ,LWM,Llantwit Major            ,403,78915,Wales and Western     ,
LLTRROC,+02 ,   ,Llantrisant Rockwell      ,403,78611,Wales and Western     ,
LLTRSNT,+02 ,LTI,Llantrisant               ,403,78610,Wales and Western     ,
LLWEAFL,+02 ,   ,Llanwern Corus AFL        ,403,76100,Wales and Western     ,
LLWESWE,+02 ,   ,Llanwern Steelworks East  ,403,76104,Wales and Western     ,
LLWESWW,+02 ,   ,Llanwern Steelworks West  ,403,76105,Wales and Western     ,
LLWRDA ,+02 ,LNR,Llanwrda                  ,433,79076,Wales and Western     ,
LLWRTYW,+02 ,LNW,Llanwrtyd                 ,433,79082,Wales and Western     ,
LLWRW2 ,+02 ,   ,Llanwrtyd Sig W2          ,433,79086,Wales and Western     ,
LLWYNYP,+02 ,LLY,Llwynypia                 ,408,78010,Wales and Western     ,
LLYSFGF,+02 ,   ,Llysfaen Emergency GF     ,431,40048,Wales and Western     ,
LMBRDSL,+02 ,   ,Limbury Road Reversal     ,103,62298,Eastern               ,
LMBRYNG,+02 ,   ,Limbury Road North G.F.   ,103,62299,Eastern               ,
LMBRYRD,+02 ,   ,Limbury Road              ,103,62302,Eastern               ,
LMBRYSG,+02 ,   ,Limbury Road South G.F.   ,103,62304,Eastern               ,
LMNG113,+02 ,   ,Leamington Spa Signal 113 ,109,69302,North West and Central,
LMNG126,+02 ,   ,Leamington Spa Signal 126 ,109,69303,North West and Central,
LMNG128,+02 ,   ,Leamington Spa Signal 128 ,109,69304,North West and Central,
LMNGCHS,+02 ,   ,Leamington Carriage Sdgs  ,109,69301,North West and Central,
LMNGDDS,+02 ,   ,Leamington Spa Down Dock  ,109,69306,North West and Central,
LMNGFDS,+02 ,   ,Field Sidings             ,109,69305,North West and Central,
LMNGFOS,+02 ,   ,Fosse Road (Leamington)   ,109,69400,North West and Central,
LMNGSD4,+02 ,   ,Leamington Spa Plt 4 Sdg  ,109,69310,North West and Central,
LMNGSOU,+02 ,   ,Southam Road              ,109,69405,North West and Central,
LMNGTNS,+02 ,LMS,Leamington Spa            ,109,69300,North West and Central,
LMTNPIR,+02 ,LYP,Lymington Pier            ,638,86908,Southern              ,
LMTNTWN,+02 ,LYT,Lymington Town            ,638,86907,Southern              ,
LNAB   ,+02 ,LLA,Llanaber                  ,410,64415,Wales and Western     ,
LNCG   ,+02 ,LAC,Lancing                   ,608,87994,Southern              ,
LNDC   ,+02 ,LLC,Llandecwyn                ,410,64426,Wales and Western     ,
LNDDAP ,+02 ,   ,Longniddry APCO           ,702,04816,Scotland's Railway    ,
LNDN490,+02 ,   ,London Bridge Sig. L1490  ,606,87601,Southern              ,
LNDNASJ,+00H,   ,Abbey Street Junction     ,606,87591,Southern              ,
LNDNBAL,+02 ,   ,London Bridge (Ballast)   ,606,87599,Southern              ,
LNDNBCJ,+00H,   ,Brunswick Court Junction  ,606,87590,Southern              ,
LNDNBDC,+02 ,Lbc,London Bridge             ,606,87601,Southern              ,
LNDNBDE,+02 ,Lbe,London Bridge             ,602,87601,Southern              ,
LNDNBDG,+02 ,LBG,London Bridge             ,606,87601,Southern              ,
LNDORE ,+02 ,   ,Landore                   ,403,79320,Wales and Western     ,
LNDOREJ,+00H,   ,Landore Junction          ,403,79327,Wales and Western     ,
LNDRSTJ,+00H,XLX,Landor Street Jn          ,105,66321,North West and Central,
LNDSRPG,+02 ,   ,Lindsey Or Rp GBRF        ,306,21196,Eastern               ,
LNDW   ,+02 ,LDN,Llandanwg                 ,410,64420,Wales and Western     ,
LNDYW  ,+02 ,LAW,Landywood                 ,106,65513,North West and Central,
LNGAFHH,+02 ,   ,Longannet Power Stn FHH   ,706,03344,Scotland's Railway    ,
LNGANPS,+02 ,   ,Longannet P.S.            ,706,03343,Scotland's Railway    ,
LNGANSB,+02 ,   ,Longannet S.B.            ,706,03347,Scotland's Railway    ,
LNGBAP ,+02 ,   ,Althorpe Park (Lng Buckby),112,70093,North West and Central,
LNGBCB ,+02 ,   ,Church Brampton           ,112,70095,North West and Central,
LNGBKBY,+02 ,LBK,Long Buckby               ,112,70091,North West and Central,
LNGBWL ,+02 ,   ,Watford Lodge (Longbuckby),112,70085,North West and Central,
LNGCROS,+02 ,LNG,Longcross                 ,609,87105,Southern              ,
LNGDYKJ,+00H,   ,Long Dyke Jn              ,403,77075,Wales and Western     ,
LNGEATN,+02 ,LGE,Long Eaton                ,107,56596,Eastern               ,
LNGEDRY,+02 ,   ,Draycott                  ,107,57437,Eastern               ,
LNGETNX,+00H,   ,Long Eaton Town X         ,107,56597,Eastern               ,
LNGHDGJ,+00H,   ,Longhedge Jn              ,605,87232,Southern              ,
LNGLNDJ,+02 ,   ,Longlands Jn              ,307,15885,Eastern               ,
LNGMGBR,+02 ,   ,Long Marston GBRF         ,439,67364,Wales and Western     ,
LNGMSTN,+02 ,   ,Long Marston              ,439,67362,Wales and Western     ,
LNGNDRY,+02 ,LND,Longniddry                ,702,04817,Scotland's Railway    ,
LNGP   ,+02 ,LPT,Longport                  ,102,43044,North West and Central,
LNGPCS ,+02 ,   ,Longport Carless Solvents ,102,43041,North West and Central,
LNGPJN ,+00H,   ,Longport Jn               ,102,43049,North West and Central,
LNGPTDS,+02 ,   ,Longport Down Sdgs        ,102,43047,North West and Central,
LNGPTFD,+02 ,   ,Longport F.D.             ,102,43046,North West and Central,
LNGPTPS,+02 ,   ,Pinnox Branch Esso Sidings,102,43045,North West and Central,
LNGROCK,+02 ,   ,Long Rock                 ,404,85730,Wales and Western     ,
LNGSDGL,+02 ,   ,Longsight Down Goods Loop ,506,32505,North West and Central,
LNGSEMD,+02 ,   ,Longsight T.M.D. (E)      ,506,32514,North West and Central,
LNGSEPL,+02 ,   ,Longsight Excursion Plat  ,506,32506,North West and Central,
LNGSEUR,+02 ,XLI,Mchester International Dep,506,32508,North West and Central,
LNGSFLW,+02 ,   ,Manchester Int Dpt (FL)   ,506,32504,North West and Central,
LNGSGHT,+02 ,   ,Longsight                 ,506,32509,North West and Central,
LNGSSTH,+02 ,   ,Longsight South           ,506,32509,North West and Central,
LNGSTCS,+02 ,XML,Longsight Car. M.D.       ,506,32512,North West and Central,
LNGSTHS,+02 ,   ,Longsight Holding Sidings ,506,32507,North West and Central,
LNGSTMD,+02 ,   ,Longsight T.M.D. (D)      ,506,32511,North West and Central,
LNGSTN ,+02 ,   ,Longsight North           ,506,32501,North West and Central,
LNGSUDL,+02 ,   ,Longsight Up & Dwn Gds Lp ,506,32503,North West and Central,
LNGSWL ,+02 ,   ,Longsight Wheel Lathe     ,506,32513,North West and Central,
LNGTMOD,+02 ,   ,Longtown M.O.D.           ,505,09131,North West and Central,
LNGTSDG,+02 ,   ,Longtown Siding           ,505,09132,North West and Central,
LNGWRTH,+02 ,   ,Langworth S.B.            ,306,44045,Eastern               ,
LNGWST ,+02 ,   ,Stainton                  ,306,44047,Eastern               ,
LNGY209,+02 ,   ,Langley Jn K209 Signal    ,301,53235,Eastern               ,
LNGY651,+02 ,   ,Langley Jn K651           ,301,53232,Eastern               ,
LNGYJN ,+02 ,   ,Langley Jn                ,301,53227,Eastern               ,
LNGYSJN,+02 ,   ,Langley Sth Jn            ,301,53234,Eastern               ,
LNLNSB ,+02 ,   ,Long Lane S.B.            ,307,15879,Eastern               ,
LNLT622,+02 ,   ,Linlithgow Signal EL622   ,702,00000,Scotland's Railway    ,
LNLT951,+02 ,   ,Linlithgow EL 951         ,702,05122,Scotland's Railway    ,
LNLTHCE,+02 ,   ,Linlithgow C.E.           ,702,05120,Scotland's Railway    ,
LNLTHGW,+02 ,LIN,Linlithgow                ,702,05119,Scotland's Railway    ,
LNLTUPL,+02 ,   ,Linlithgow U.P.L.         ,702,05121,Scotland's Railway    ,
LNRWST ,+02 ,LWR,Llanrwst                  ,431,40059,Wales and Western     ,
LNSD   ,+02 ,LGS,Langside                  ,701,07581,Scotland's Railway    ,
LNTN   ,+02 ,LGN,Longton                   ,102,43501,North West and Central,
LNTRAN ,+02 ,   ,Lentran                   ,710,01088,Scotland's Railway    ,
LOCHAWE,+02 ,LHA,Loch Awe                  ,716,06051,Scotland's Railway    ,
LOCKCEJ,+00H,   ,Chellaston East Jn        ,127,56627,Eastern               ,
LOCKLAX,+02 ,   ,Lock Lane X               ,107,56622,Eastern               ,
LOGH675,+02 ,   ,Loughborough Signal 675   ,107,59005,Eastern               ,
LOGHARC,+02 ,   ,Loughborough A.R.C.       ,107,59004,Eastern               ,
LOGHBGM,+02 ,   ,Hotchley Hill East Leake  ,107,55403,Eastern               ,
LOGHBNJ,+00H,   ,Loughborough North Jn     ,107,59001,Eastern               ,
LOGHBRO,+02 ,LBO,Loughborough              ,107,59002,Eastern               ,
LOGHBSH,+02 ,   ,Loughborough Brush        ,107,59006,Eastern               ,
LOGHBSJ,+00H,   ,Loughborough South Jn     ,107,59003,Eastern               ,
LOGHEL ,+02 ,   ,East Leake                ,107,55405,Eastern               ,
LOGHHOH,+02 ,   ,Hotchley Hill (East Leake),107,55404,Eastern               ,
LONB   ,+02 ,LOB,Longbridge                ,105,66519,North West and Central,
LONB23 ,+02 ,   ,Longbridge Signal 23      ,105,66520,North West and Central,
LONB24 ,+02 ,   ,Longbridge Signal 24      ,105,66521,North West and Central,
LONBRS ,+02 ,   ,Longbridge Reversing Sdgs ,105,66518,North West and Central,
LONDNBS,+02 ,ZBS,London Baker Street       ,104,00000,North West and Central,
LONFLDS,+02 ,LoF,London Fields             ,202,52737,Eastern               ,
LONGBCK,+02 ,LGK,Longbeck                  ,308,15666,Eastern               ,
LOOE   ,+02 ,LOO,Looe                      ,404,84421,Wales and Western     ,
LOSTCKJ,+00H,XLK,Lostock Jn                ,508,30331,North West and Central,
LOSTCKP,+02 ,LOT,Lostock                   ,503,30330,North West and Central,
LOTH   ,+02 ,   ,Loth                      ,710,01019,Scotland's Railway    ,
LOUNJN ,+00H,   ,Lounge Jn                 ,107,58033,Eastern               ,
LOUNOC ,+02 ,   ,Lounge Open Cast          ,107,58035,Eastern               ,
LOUNSLC,+02 ,   ,Swannington L.C.          ,107,58037,Eastern               ,
LOVR243,+02 ,   ,Lovers Walk Signal T1243  ,607,00000,Southern              ,
LOVR246,+02 ,   ,Lovers Walk Signal T1246  ,607,00000,Southern              ,
LOVRSWS,+02 ,XBI,Lovers Walk T&R.S.M.D     ,607,87979,Southern              ,
LOWDHAM,+02 ,LOW,Lowdham                   ,107,55501,Eastern               ,
LOWF201,+02 ,   ,Low Fell Sig T201         ,309,13545,Eastern               ,
LOWF203,+02 ,   ,Low Fell Sig T203         ,309,13544,Eastern               ,
LOWF228,+02 ,   ,Low Fell Sig T228         ,309,00000,Eastern               ,
LOWFECE,+02 ,   ,Low Fell ISU (CE)         ,309,13543,Eastern               ,
LOWFELJ,+02 ,   ,Low Fell Jn               ,309,13542,Eastern               ,
LOWFGBR,+02 ,   ,Low Fell GB Railfreight   ,309,13540,Eastern               ,
LOWFRMT,+02 ,   ,Low Fell Royal Mail Tmnl  ,309,13539,Eastern               ,
LOWGATS,+02 ,   ,Low Gates L.C.            ,309,15881,Eastern               ,
LOWHXSB,+02 ,   ,Low House Crossing S.B.   ,505,09414,North West and Central,
LOWMOOR,+02 ,LMR,Low Moor                  ,311,18461,Eastern               ,
LOWRDEN,+02 ,   ,Upper Denton AHB          ,309,13300,Eastern               ,
LOWRWSB,+02 ,XRL,Low Row S.B.              ,309,13303,Eastern               ,
LOWSCE ,+02 ,   ,Lowestoft ISU (CE)        ,205,48114,Eastern               ,
LOWSTFR,+02 ,   ,Lowestoft Recp            ,205,48101,Eastern               ,
LOWSTFT,+02 ,Low,Lowestoft                 ,205,48104,Eastern               ,
LOWTONJ,+00H,   ,Lowton Jn                 ,502,35303,North West and Central,
LPRESTN,+02 ,LPR,Long Preston              ,505,09525,North West and Central,
LRDDEAC,+02 ,   ,London Road Depot         ,107,72357,North West and Central,
LRDGFD ,+02 ,LRD,London Road (Guildford)   ,610,87068,Southern              ,
LRGN   ,+02 ,   ,Largin                    ,404,84431,Wales and Western     ,
